Skud_1	170892
Skud_2	772416
Skud_3	299440
Skud_4	1436357
Skud_5	548915
Skud_6	253885
Skud_7	1079500
Skud_8	495894
Skud_9	402792
Skud_10	685684
Skud_11	629252
Skud_12	998210
Skud_13	890737
Skud_14	742291
Skud_15	1015797
Skud_16	883140
Skud_17	22910
Skud_18	17453
Skud_19	14445
Skud_20	13775
Skud_21	12741
Skud_22	12726
Skud_23	11897
Skud_24	8539
Skud_25	7723
Skud_26	6004
Skud_27	5738
Skud_28	4137
Skud_29	4034
Skud_30	3934
Skud_31	3881
Skud_32	3747
Skud_33	3312
Skud_34	3222
Skud_35	3211
Skud_36	3188
Skud_37	2923
Skud_38	2816
Skud_39	2764
Skud_40	2760
Skud_41	2705
Skud_42	2540
Skud_43	2525
Skud_44	2328
Skud_45	1812
Skud_46	1752
Skud_47	1657
Skud_48	1534
Skud_49	1440
Skud_50	1437
Skud_51	1407
Skud_52	1293
Skud_53	1268
Skud_54	1224
Skud_55	1126
Skud_56	1123
Skud_57	1111
Skud_58	1075
Skud_59	1072
Skud_60	1049
Skud_61	1028
Skud_62	1017
Skud_63	995
Skud_64	985
Skud_65	968
Skud_66	944
Skud_67	933
Skud_68	904
Skud_69	897
Skud_70	878
Skud_71	869
Skud_72	869
Skud_73	863
Skud_74	808
Skud_75	795
Skud_76	781
Skud_77	779
Skud_78	774
Skud_79	773
Skud_80	767
Skud_81	767
Skud_82	757
Skud_83	754
Skud_84	754
Skud_85	750
Skud_86	740
Skud_87	728
Skud_88	704
Skud_89	701
Skud_90	696
Skud_91	681
Skud_92	680
Skud_93	679
Skud_94	650
Skud_95	629
Skud_96	626
Skud_97	614
Skud_98	609
Skud_99	606
Skud_100	604
Skud_101	604
Skud_102	604
Skud_103	598
Skud_104	598
Skud_105	598
Skud_106	590
Skud_107	590
Skud_108	588
Skud_109	564
Skud_110	561
Skud_111	560
Skud_112	559
Skud_113	559
Skud_114	549
Skud_115	547
Skud_116	544
Skud_117	538
Skud_118	517
Skud_119	515
Skud_120	515
Skud_121	513
Skud_122	512
Skud_123	506
